id,len,0,1,2,3,4,5,6,7,time
000003FF,8,05,00,00,56,BD,00,00,00,234.530900
000003E9,8,17,00,01,5C,63,00,00,00,234.542250
00000722,8,FF,63,02,01,21,01,08,0A,234.642170
000003F6,8,18,24,00,00,00,00,00,00,234.661970
00000405,8,16,00,00,AF,DB,00,00,00,234.701900
000003FE,8,11,00,00,02,93,00,00,00,234.702840
000003FE,8,12,00,00,09,66,00,00,00,234.703870
0000040B,8,17,02,AE,F3,60,00,00,00,234.704890
0000040C,8,14,00,00,02,6D,00,00,00,234.705830
0000040C,8,15,00,00,09,B4,00,00,00,234.706850
000003FF,8,06,00,00,54,DC,00,00,00,234.707960
000003FF,8,07,00,00,0D,A2,00,00,00,234.708990
000003FF,8,08,00,00,10,E0,00,00,00,234.709930
00000403,8,18,00,00,00,00,00,00,00,234.710950
0000040E,8,0A,00,00,00,2F,00,00,00,234.711970
00000410,8,09,00,00,00,00,00,00,00,234.712910
000003FF,8,05,00,00,56,C0,00,00,00,234.740900
000007BE,8,00,04,2D,21,01,08,00,00,234.842190
000003F6,8,18,28,00,00,00,00,00,00,234.861990
000003FF,8,05,00,00,56,C3,00,00,00,234.941860
000003E9,8,17,00,01,5B,50,00,00,00,234.942800
000003F0,8,0B,06,0E,20,20,00,00,00,234.946980
000007C0,8,00,04,3A,01,03,00,00,00,234.950910
000007BD,8,00,04,3A,00,00,00,00,00,234.951850
00000405,8,16,00,00,AF,BD,00,00,00,235.010810
000003FE,8,11,00,00,02,6D,00,00,00,235.011830
000003FE,8,12,00,00,09,B4,00,00,00,235.012770
0000040B,8,17,02,AE,A5,40,00,00,00,235.013880
0000040C,8,14,00,00,02,6D,00,00,00,235.014820
0000040C,8,15,00,00,09,66,00,00,00,235.015850
000003FF,8,06,00,00,54,DE,00,00,00,235.016870
000003FF,8,07,00,00,0D,98,00,00,00,235.017890
000003FF,8,08,00,00,10,D6,00,00,00,235.018830
00000404,8,09,00,00,00,01,00,00,00,235.019940
00000410,8,07,00,00,00,01,00,00,00,235.020880
000003FF,8,05,00,00,56,C0,00,00,00,235.040850
000003F6,8,18,2C,00,00,00,00,00,00,235.062010
00000722,8,FF,63,02,01,21,01,08,0A,235.142220
000003EA,8,18,00,00,02,58,00,00,00,235.143250
000003FA,8,0D,00,00,00,00,00,00,00,235.144190
000003E9,8,17,00,01,5B,DA,00,00,00,235.147000
000003FF,8,05,00,00,56,BE,00,00,00,235.151870
000003F6,8,18,30,00,00,00,00,00,00,235.262030
000003FF,8,0B,00,00,00,01,00,00,00,235.319800
00000405,8,16,00,00,AF,9F,00,00,00,235.320830
000003FE,8,11,00,00,02,E1,00,00,00,235.321770
0000040B,8,17,02,AE,30,10,00,00,00,235.322790
0000040C,8,14,00,00,02,93,00,00,00,235.323810
0000040C,8,15,00,00,09,B4,00,00,00,235.324750
000003FF,8,06,00,00,54,D7,00,00,00,235.325780
000003FF,8,07,00,00,0D,A2,00,00,00,235.326800
000003FF,8,08,00,00,10,E0,00,00,00,235.327820
00000405,8,17,00,00,11,4E,00,00,00,235.328850
000007BE,8,00,04,2D,21,01,08,00,00,235.342250
000003E9,8,17,00,01,5B,50,00,00,00,235.343180
000003F0,8,0B,06,0F,20,20,00,00,00,235.347020
000003FF,8,05,00,00,56,BF,00,00,00,235.349840
000003F4,8,10,00,00,00,00,00,00,00,235.352060
000007C0,8,00,04,3A,01,03,00,00,00,235.451810
000007BD,8,00,04,3A,00,00,00,00,00,235.452750
000003FF,8,05,00,00,56,C1,00,00,00,235.453780
000003F6,8,18,34,00,00,00,00,00,00,235.462050
000003E9,8,17,00,01,5C,63,00,00,00,235.542270
000003FF,8,05,00,00,56,C0,00,00,00,235.559850
000003FF,8,0B,00,00,00,00,00,00,00,235.631780
00000405,8,16,00,00,AF,81,00,00,00,235.632810
000003FE,8,11,00,00,02,6D,00,00,00,235.633740
0000040B,8,17,02,AD,BA,E0,00,00,00,235.634770
0000040C,8,14,00,00,02,6D,00,00,00,235.635790
000003FF,8,06,00,00,54,DA,00,00,00,235.636730
000003FF,8,07,00,00,0D,98,00,00,00,235.637750
000003FF,8,08,00,00,10,D6,00,00,00,235.638780
00000404,8,09,00,00,00,00,00,00,00,235.639800
0000040E,8,0A,00,00,00,31,00,00,00,235.640740
00000410,8,07,00,00,00,00,00,00,00,235.641770
00000722,8,FF,63,02,01,21,01,08,0A,235.642700
000003FF,8,05,00,00,56,C2,00,00,00,235.661730
000003F6,8,18,38,00,00,00,00,00,00,235.662760
000003ED,8,00,00,00,19,F3,00,00,00,235.742370
000003FF,8,05,00,00,56,BE,00,00,00,235.760720
000007BE,8,00,04,2D,21,01,08,00,00,235.842210
000003F6,8,18,3C,00,00,00,00,00,00,235.862010
000003FF,8,05,00,00,56,C0,00,00,00,235.863030
00000404,8,0C,00,00,00,05,00,00,00,235.863970
00000405,8,16,00,00,AF,6D,00,00,00,235.940690
000003FE,8,11,00,00,02,93,00,00,00,235.941710
000003E9,8,17,00,01,5B,DA,00,00,00,235.942650
0000040A,8,13,00,00,00,00,00,00,00,235.943670
0000040A,8,14,00,00,00,00,00,00,00,235.944610
0000040B,8,17,02,AD,1E,A0,00,00,00,235.945640
0000040C,8,14,00,00,02,6D,00,00,00,235.946580
000003F0,8,0B,01,01,37,31,00,00,00,235.947510
000003FF,8,06,00,00,54,DA,00,00,00,235.948540
000003FF,8,07,00,00,0D,A2,00,00,00,235.949480
